niche,city,state,pop,vol,cpc,lead_value,query,name_conflict,local_in_top10,directories_in_top10,top5_pages_med,top5_pages_min,top10_pages_med,top10_pages_min,winner_words_med,winners_measured,score
window tinting,Tracy,CA,84691,320,6.41,2051,window tinting tracy,clean,5,5,25,25,22,19,180,2,73.7
septic tank pumping,Warner Robins,GA,72531,140,42.74,5984,septic tank pumping warner robins,clean,5,5,96,13,96,13,1050,3,73
window tinting,Yuba City,CA,65416,320,5.42,1734,window tinting yuba city,clean,6,4,30,15,23,15,632,4,72.6
window tinting,Conway,AR,63816,320,5.79,1853,window tinting conway,clean,4,6,13.0,11,13,11,801,2,72.4
towing service,Fort Myers,FL,68190,210,8.97,1884,towing service fort myers,clean,8,2,7.5,7,7,7,583,2,71.6
chimney sweep,Lynchburg,VA,78014,140,12.26,1716,chimney sweep lynchburg,clean,4,6,13,13,38,13,529,2,71.4
air duct cleaning,Puyallup,WA,38609,90,52.65,4738,air duct cleaning puyallup,clean,6,4,104.0,6,104,6,736,6,71
air duct cleaning,Greenville,NC,89130,260,21.61,5619,air duct cleaning greenville,same name elsewhere,7,3,33,12,95,12,734,5,71
window tinting,Fort Myers,FL,68190,590,7.45,4396,window tinting fort myers,clean,6,4,94.0,12,66,12,1308,6,71
dumpster rental,Bentonville,AR,40167,480,11.81,5669,dumpster rental bentonville,clean,6,4,75,39,67,39,1829,4,71
window tinting,St. George,UT,76817,320,5.16,1651,window tinting st. george,clean,7,3,41,16,159,16,777,4,70.0
pressure washing,Alpharetta,GA,62298,480,12.73,6110,pressure washing alpharetta,clean,7,3,57.5,16,67,16,675,5,69
air duct cleaning,Sarasota,FL,53326,320,28,8960,air duct cleaning sarasota,clean,7,3,161,2,96,2,873,6,69
junk removal,Fort Myers,FL,68190,480,15.43,7406,junk removal fort myers,clean,4,6,33,33,33,33,1925,1,68
dumpster rental,Frederick,MD,66893,390,10.93,4263,dumpster rental frederick,clean,5,5,27,27,23,20,1521,2,68
auto glass repair,Petaluma,CA,59440,110,22.58,2484,auto glass repair petaluma,clean,6,4,104,6,493,6,371,5,67.6
dumpster rental,Canton,OH,72535,590,7.81,4608,dumpster rental canton,clean,8,2,53.5,11,84,11,1011,5,67
pressure washing,Sugar Land,TX,83860,260,6.27,1630,pressure washing sugar land,clean,6,4,37,26,50,26,1668,4,66.9
air duct cleaning,Wheaton,IL,53648,70,71.93,5035,air duct cleaning wheaton,clean,6,4,97,72,97,72,461,3,66
air duct cleaning,Pflugerville,TX,53752,90,50.22,4520,air duct cleaning pflugerville,clean,6,4,122.5,21,122,21,1130,4,66
pressure washing,Asheville,NC,87236,320,10.38,3322,pressure washing asheville,clean,6,4,194,5,127,5,319,4,66
dumpster rental,Bonita Springs,FL,47547,210,22.6,4746,dumpster rental bonita springs,clean,6,4,95,63,95,63,891,5,66
dryer vent cleaning,Jupiter,FL,58298,110,15.79,1737,dryer vent cleaning jupiter,clean,7,3,58.0,14,84,14,425,5,65.6
dumpster rental,Cleveland,TN,42774,1900,7.58,14402,dumpster rental cleveland,BIGGER same name,4,6,10.5,6,15,6,936,3,65
dumpster rental,Lancaster,OH,39325,590,7.21,4254,dumpster rental lancaster,BIGGER same name,5,5,22.0,3,40,3,1270,4,65
pressure washing,Charleston,WV,50821,1900,9.03,17157,pressure washing charleston,BIGGER same name,5,5,11.5,7,16,7,1903,3,65
pressure washing,Leesburg,VA,47673,70,25.56,1789,pressure washing leesburg,clean,5,5,93.5,32,34,32,659,3,64.9
pressure washing,Boca Raton,FL,89407,320,9.52,3046,pressure washing boca raton,clean,7,3,56,37,200,37,583,4,64
air duct cleaning,Ogden,UT,84249,110,38.64,4250,air duct cleaning ogden,clean,7,3,70,38,65,38,1722,4,64
dryer vent cleaning,Alpharetta,GA,62298,110,16.24,1786,dryer vent cleaning alpharetta,clean,8,2,34,28,815,28,985,5,63.9
auto glass repair,Columbus,IN,45775,720,7.85,5652,auto glass repair columbus,BIGGER same name,6,4,13,9,31,9,645,4,63
towing service,Auburn,AL,58582,480,7,3360,towing service auburn,BIGGER same name,6,4,3,2,3,2,699,3,63
paintless dent repair,Madison,AL,45799,720,15.07,10850,paintless dent repair madison,BIGGER same name,6,4,7,4,12,4,718,4,63
dryer vent cleaning,Charleston,WV,50821,140,20.74,2904,dryer vent cleaning charleston,BIGGER same name,6,4,2,2,78,2,2019,4,62.4
window tinting,Littleton,CO,44275,1000,6.48,6480,window tinting littleton,clean,8,2,140,16,140,16,1275,3,62
air duct cleaning,Loveland,CO,71334,170,29.2,4964,air duct cleaning loveland,clean,6,4,175,21,153,21,1245,5,61
dryer vent cleaning,Schaumburg,IL,74907,320,38.15,12208,dryer vent cleaning schaumburg,clean,6,4,95,62,210,62,411,6,61
radon mitigation,Columbus,IN,45775,320,20.29,6493,radon mitigation columbus,BIGGER same name,7,3,10,6,66,6,724,4,61
pressure washing,Columbus,IN,45775,390,28.83,11244,pressure washing columbus,BIGGER same name,7,3,14,4,14,4,926,5,61
window tinting,Charleston,WV,50821,590,5.63,3322,window tinting charleston,BIGGER same name,7,3,16.0,2,26,2,1010,6,61
roof cleaning,Salem,MA,42544,170,17.85,3035,roof cleaning salem,BIGGER same name,7,3,19.0,8,30,8,456,3,61
